Fecha,Nombre,Consumo
2023-07-22,Hidráulica,41746.549
2023-07-23,Hidráulica,35000.723
2023-07-24,Hidráulica,39696.202
2023-07-25,Hidráulica,36630.899
2023-07-26,Hidráulica,40288.978
2023-07-27,Hidráulica,43236.476
2023-07-28,Hidráulica,46261.619
2023-07-29,Hidráulica,35259.644
2023-07-30,Hidráulica,27813.325
2023-07-31,Hidráulica,33078.132
2023-08-01,Hidráulica,31439.552
2023-08-02,Hidráulica,33742.223
2023-08-03,Hidráulica,23835.027
2023-08-04,Hidráulica,26066.527
2023-08-05,Hidráulica,28654.562
2023-08-06,Hidráulica,22903.939
2023-08-07,Hidráulica,27796.47
2023-08-08,Hidráulica,43187.818
2023-08-09,Hidráulica,43173.838
2023-08-10,Hidráulica,32777.41
2023-08-11,Hidráulica,39550.579
2023-08-12,Hidráulica,30808.534
2023-08-13,Hidráulica,23968.78
2023-08-14,Hidráulica,27836.137
2023-08-15,Hidráulica,28053.311
2023-08-16,Hidráulica,28450.921
2023-08-17,Hidráulica,29884.741
2023-08-18,Hidráulica,33637.01
2023-08-19,Hidráulica,33029.369
2023-08-20,Hidráulica,32054.588
2023-08-21,Hidráulica,49034.114
2023-08-22,Hidráulica,43926.306
2023-08-23,Hidráulica,37197.448
2023-08-24,Hidráulica,32321.096
2023-08-25,Hidráulica,29591.322
2023-08-26,Hidráulica,28706.028
2023-08-27,Hidráulica,18122.439
2023-08-28,Hidráulica,26414.615
2023-08-29,Hidráulica,23282.644
2023-08-30,Hidráulica,35225.486
2023-08-31,Hidráulica,36468.263
2023-09-01,Hidráulica,33566.051
2023-09-02,Hidráulica,22578.428
2023-09-03,Hidráulica,23447.31
2023-09-04,Hidráulica,25787.137
2023-09-05,Hidráulica,33407.38
2023-09-06,Hidráulica,39379.681
2023-09-07,Hidráulica,43335.683
2023-09-08,Hidráulica,38951.744
2023-09-09,Hidráulica,26380.041
2023-09-10,Hidráulica,22677.543
2023-09-11,Hidráulica,34410.083
2023-09-12,Hidráulica,36184.276
2023-09-13,Hidráulica,27251.012
2023-09-14,Hidráulica,24805.877
2023-09-15,Hidráulica,31052.893
2023-09-16,Hidráulica,24153.141
2023-09-17,Hidráulica,15558.041
2023-09-18,Hidráulica,31779.909
2023-09-19,Hidráulica,33073.974
